mz,rt,t.score,p.value,mode
289.00133,28.446,-3.61,0.00468720137731449,negative
190.0801,15.338,-0.79,0.0114600690826913,negative
325.1843,28.639,-3.22,0.014226168536805,negative
88.98778,28.559,1.25,0.0213569847242263,negative
151.00673,28.587,-4.14,0.0356311373160808,negative
190.99943,28.435,-3.32,0.0404443692367298,negative
171.10269,28.612,-3.71,0.0687788303145086,negative
187.69094,14.907,0.81,0.0757275967338372,negative
297.24353,28.612,-2.07,0.0758719748526734,negative
214.0023,3.088,-1.74,0.204103843835847,negative
227.09243,14.318,0.61,0.225824637699066,negative
188.32797,10.092,1.63,0.268576090893242,negative
199.17024,1.206,-0.97,0.299855821207035,negative
129.05551,13.714,-1.05,0.30420269851818,negative
255.08789,15.966,-0.91,0.357616063629013,negative
94.98166,12.495,-2.8,0.374106274858134,negative
125.09697,1.267,3.11,0.403378362607813,negative
61.9885,28.587,-3.57,0.411450342130639,negative
189.02112,14.789,0.75,0.411924753407146,negative
227.12881,18.906,-0.37,0.43393962599964,negative
229.10801,15.044,0.7,0.436652029365025,negative
253.21738,28.617,-2.1,0.453867198433449,negative
339.20001,28.638,-1.93,0.470586017916599,negative
216.99561,11.912,-0.65,0.477059225413837,negative
146.96581,15.102,1.05,0.486576169928863,negative
114.93606,28.635,-3.54,0.505183224770311,negative
200.98624,28.409,-6.55,0.507016973144802,negative
298.98745,12.202,-1.9,0.510089937343431,negative
290.00897,18.531,-1.92,0.528138507090766,negative
114.93603,1.074,2.06,0.56061390272397,negative
278.18411,25.724,1.33,0.57716347178935,negative
196.02506,22.212,-0.88,0.586512649906733,negative
336.85878,14.482,-0.58,0.634199355835079,negative
227.09242,14.469,0.5,0.63892083270969,negative
339.19989,1.32,-2.29,0.680239442288504,negative
175.09749,2.203,-1.53,0.694469916952976,negative
155.98857,1.162,2.11,0.69643658249681,negative
223.06108,16.573,-0.44,0.711184216222373,negative
157.12337,28.603,-3.74,0.713564850906669,negative
191.99408,7.105,1.99,0.734046499252464,negative
182.99677,14.691,1.33,0.744248810139223,negative
255.0879,1.291,-1.06,0.760573495865545,negative
135.94496,28.635,-3.26,0.768856392375657,negative
184.9913,28.578,-1.19,0.790100803030746,negative
301.99103,10.591,1.59,0.806119036422638,negative
185.06071,1.225,-0.5,0.842050716159847,negative
150.01712,8.508,0.84,0.846145857600458,negative
238.89126,14.454,-0.63,0.854933197518627,negative
135.06609,4.625,0.49,0.859252168938196,negative
216.90927,14.473,-0.58,0.866104778611166,negative
174.93735,14.526,-0.56,0.867656437694587,negative
198.05928,0.973,1.69,0.86997880990888,negative
175.09749,1.431,-0.41,0.870965425675613,negative
119.94672,12.27,-0.53,0.87984839749215,negative
136.99121,11.532,1.17,0.893600249297194,negative
161.95738,15.259,1.63,0.911119446286745,negative
238.90075,15.328,-1.1,0.912696392967687,negative
136.99121,12.019,0.75,0.912942508571537,negative
131.07117,11.795,0.38,0.924323667317341,negative
281.24847,28.951,-6.96,0.925077503081858,negative
215.09241,13.505,-0.48,0.925417330083698,negative
305.08186,1.41,-1.4,0.92595371303855,negative
215.12875,1.318,-0.69,0.928304637641875,negative
170.99347,19.226,-0.48,0.929163122081751,negative
229.14436,17.73,-0.64,0.931467899054774,negative
154.96547,17.272,0.6,0.94067669989827,negative
181.02551,24.043,-0.23,0.940983674718599,negative
179.05606,4.601,0.4,0.941005224462215,negative
75.00844,9.748,0.5,0.942413608748696,negative
83.0248,1.234,0.77,0.949077322920702,negative
90.02834,9.869,1.64,0.950765598873394,negative
72.99283,28.43,-5.9,0.952173526791651,negative
187.06109,13.585,0.32,0.95581083174263,negative
179.05607,4.048,0.51,0.958629104487822,negative
273.00684,13.534,0.64,0.958822868696458,negative
201.99773,13.501,0.71,0.960767435273492,negative
179.05607,4.149,0.47,0.961268140361607,negative
297.15283,1.32,-1.34,0.961276434206173,negative
164.03529,13.408,-1.42,0.963941429192913,negative
176.10088,11.374,-0.15,0.96596026258785,negative
139.9987,1.264,-1.96,0.967908966160407,negative
80.96488,13.602,-0.46,0.969500520909891,negative
287.99333,5.522,1.27,0.970535245379359,negative
61.98862,15.047,2.03,0.972567133377729,negative
202.00153,3.545,1.06,0.972892299545052,negative
198.33515,4.309,1.96,0.974149005056711,negative
59.01403,28.553,-3.57,0.976861458041753,negative
198.33517,20.732,0.9,0.977767010724243,negative
128.03503,8.63,1.11,0.980183773864695,negative
187.09751,1.202,-0.21,0.980212069456003,negative
167.00196,12.591,0.72,0.980666913791269,negative
271.22778,1.814,-1.54,0.981536304220821,negative
217.03541,13.961,0.99,0.982563685207647,negative
191.99412,4.621,1.27,0.983345715022684,negative
198.89225,12.7,3.24,0.983866102729282,negative
302.98044,6.111,1.82,0.983970393293715,negative
161.08186,8.633,0.4,0.985114095889931,negative
229.0505,1.405,-1.9,0.98641324301871,negative
199.17028,28.917,-6.02,0.987472802186922,negative
269.21193,1.287,-0.77,0.988222968263844,negative
135.01195,1.23,-0.95,0.990541018652344,negative
139.00351,21.686,-0.75,0.990901786532546,negative
283.2641,28.924,-1.11,0.991059876351564,negative
154.9985,15.593,-0.36,0.991067628827177,negative
83.04993,1.307,-1.47,0.991562482396235,negative
163.00374,22.095,0.96,0.991598105993818,negative
118.94177,14.533,-0.31,0.992774740210579,negative
92.04305,1.815,0.47,0.993011789795941,negative
188.99663,22.359,-1.01,0.993590761263279,negative
121.02923,13.397,0.57,0.99365464234965,negative
141.0919,1.303,0.74,0.993752240226095,negative
241.07228,20.809,0.85,0.99387166058246,negative
182.00932,16.117,-0.89,0.993939711748166,negative
