mz,rt,t.score,p.value,mode
278.18411,25.724,-1.4,0.00240832282616432,negative
131.07121,11.364,-0.78,0.00380744119355858,negative
87.00845,1.809,-3.25,0.013069162580323,negative
185.06071,1.225,-0.82,0.0442094959868505,negative
227.12885,19.19,-0.52,0.0746022515925168,negative
91.04098,1.95,1.55,0.0865691140226572,negative
243.16006,1.263,1.77,0.10438465165107,negative
162.04209,25.444,2.02,0.108327435791054,negative
281.24851,15.347,-1.45,0.163720676119913,negative
92.04305,1.815,1.15,0.22407429640582,negative
179.05607,4.149,0.69,0.230212827002897,negative
213.0556,1.236,-0.77,0.254202021944634,negative
167.02077,18.281,0.95,0.301435182203064,negative
179.05607,4.048,0.66,0.362423920313902,negative
309.10126,24.817,1.62,0.367680804372688,negative
323.0284,17.535,0.8,0.377110661753768,negative
157.01059,18.946,-1.88,0.398290193676025,negative
289.00133,28.446,2.77,0.450048219323308,negative
140.01165,13.639,0.69,0.45889471371813,negative
219.0509,16.179,-0.46,0.490002472377238,negative
175.02471,13.57,1.1,0.504687711607494,negative
269.10291,15.816,-0.57,0.525902224954485,negative
151.026,1.342,2.66,0.531652160713776,negative
126.01942,22.92,-0.89,0.542974429086225,negative
225.03794,8.834,-0.37,0.543770604418351,negative
165.01926,28.488,-0.98,0.611034090970449,negative
175.02473,13.577,1.07,0.614023960257322,negative
132.99606,28.421,-1.87,0.614121378777764,negative
177.04038,16.612,0.68,0.646230494375007,negative
165.04037,13.43,0.61,0.670350024478668,negative
154.9985,15.593,-0.55,0.676854005287522,negative
101.02408,17.362,0.94,0.679852708286898,negative
162.0421,26.005,1.36,0.684489110034256,negative
59.01423,1.278,0.63,0.685523714586013,negative
195.06369,8.757,0.44,0.700296838717589,negative
221.03018,16.557,0.79,0.700486386783272,negative
185.06065,1.315,-1.14,0.70200493120283,negative
193.03522,13.511,1.11,0.710912507610372,negative
305.08173,1.227,-1.35,0.717572720707273,negative
195.99208,15.332,0.59,0.755183195362077,negative
165.04036,13.4,0.53,0.763906784787021,negative
229.14442,8.741,0.44,0.77169161675319,negative
155.07124,15.949,0.46,0.782084176231425,negative
196.02839,13.509,0.67,0.785142558197178,negative
164.03529,13.408,-1.38,0.790493985628732,negative
185.65605,1.661,-1.38,0.795206289704187,negative
99.04481,13.939,0.53,0.796423636653048,negative
123.90183,1.29,-1.09,0.802121393127642,negative
94.98166,12.495,-3.41,0.805321554008639,negative
172.95789,28.514,1.16,0.805907931977176,negative
132.99609,1.906,-0.73,0.815031103034741,negative
278.18412,15.272,-2.23,0.81861918328641,negative
185.08186,13.767,0.93,0.821289135771027,negative
182.92296,21.013,-1.2,0.824142736459594,negative
336.85878,14.482,-0.76,0.825298207124034,negative
147.02975,13.451,0.86,0.82727340381369,negative
204.05922,8.849,0.49,0.827825927640845,negative
168.04305,7.56,1.04,0.828362389512302,negative
110.97554,13.069,1.3,0.838277579809376,negative
100.98532,1.319,-0.26,0.843269483157382,negative
267.07333,1.514,1.39,0.845095177586034,negative
168.06656,1.215,1.34,0.851853267957971,negative
122.97547,1.276,-0.77,0.859684147648623,negative
194.00457,26.094,0.82,0.86289625410327,negative
59.01403,28.553,4.89,0.867995479760311,negative
154.01207,26.24,1.01,0.877376185916389,negative
101.02411,8.893,0.48,0.883134438286585,negative
175.09749,1.431,-0.45,0.892741045045535,negative
166.92525,1.148,-1.32,0.898131807166144,negative
132.03005,13.057,0.44,0.908947039883178,negative
214.04841,7.552,1.13,0.908951445574735,negative
289.05543,1.486,1.21,0.910651691528359,negative
141.01919,20.304,-0.55,0.914676469686095,negative
179.05606,4.547,0.43,0.915587532397943,negative
105.01902,8.949,0.45,0.915700715781894,negative
305.08186,1.41,-1.25,0.918317373157834,negative
99.00844,8.929,0.47,0.919396749873872,negative
131.03474,16.599,0.48,0.922760055664205,negative
134.01742,13.59,0.67,0.923252618749291,negative
173.43743,9.413,-1.47,0.924872326586515,negative
61.98801,1.152,0.6,0.925968442765165,negative
179.07129,1.223,-0.68,0.928311483437497,negative
143.07121,2.204,-2.62,0.935852262469744,negative
139.03992,13.051,1.66,0.935983036734619,negative
229.10801,15.044,0.65,0.936036665678906,negative
229.05048,1.221,-0.84,0.936501887288629,negative
308.05162,12.232,-0.86,0.9369326078202,negative
87.04485,1.118,0.63,0.939945956492467,negative
154.91866,12.924,-0.85,0.940198425359143,negative
206.49866,15.324,-1.31,0.942199372975968,negative
168.52947,14.982,0.52,0.949394063532627,negative
71.01356,14.314,0.26,0.949419137360226,negative
216.99561,11.912,-0.61,0.949799785132995,negative
277.18071,25.592,-0.73,0.950058311662723,negative
181.96591,12.618,-0.36,0.955015526410846,negative
115.0034,13.651,0.56,0.95814591676294,negative
248.97315,1.339,1.09,0.958266836943246,negative
193.03517,12.218,0.61,0.963531019348072,negative
171.00641,12.81,0.58,0.964452573453712,negative
243.12376,11.543,0.48,0.965070777213301,negative
58.02957,13.033,0.44,0.966580699908616,negative
200.98624,28.409,5.69,0.969086915453511,negative
93.03426,1.204,-0.56,0.97013683800939,negative
161.04551,13.376,0.41,0.970389897580872,negative
161.04549,16.559,0.61,0.970486154683064,negative
125.0007,12.71,0.55,0.970972957837164,negative
196.02509,1.244,1.51,0.971803689258584,negative
168.99932,13.306,0.5,0.976126159182504,negative
133.01395,13.587,0.56,0.976132745957388,negative
190.0801,15.338,-0.39,0.976687948376083,negative
255.23277,15.225,-0.97,0.977413561120779,negative
174.04071,13.05,0.39,0.977811346198213,negative
189.07673,15.381,-0.29,0.977883783691107,negative
75.00846,13.41,0.45,0.978327017749584,negative
110.98504,12.897,0.53,0.978818212869483,negative
69.03423,13.575,1.06,0.978897447110919,negative
114.01936,13.034,0.38,0.979280969498606,negative
96.96945,12.662,0.28,0.980255741220421,negative
174.04055,12.994,0.38,0.980721854534874,negative
187.06109,13.585,-0.46,0.983356205241077,negative
134.89452,1.352,-1.39,0.983698692176021,negative
238.89126,14.454,-1.21,0.983730235558919,negative
89.02534,21.977,0.97,0.98399064913332,negative
61.9885,28.587,3.16,0.984054460339393,negative
212.98627,1.087,0.81,0.98521612934435,negative
75.00845,14.546,0.3,0.98583484489741,negative
187.65674,10.773,0.74,0.986176439157333,negative
203.05596,13.624,-2.04,0.986329805979019,negative
306.07652,26.231,0.42,0.986346871194521,negative
159.02982,16.551,0.53,0.986893981982744,negative
272.08875,12.682,-0.53,0.987976134009138,negative
187.69094,14.907,0.3,0.987992674293059,negative
200.98622,28.503,-0.87,0.988088940949945,negative
205.99112,12.454,0.88,0.9884061908309,negative
325.1843,28.639,1.92,0.98880512595168,negative
338.06633,14.908,0.44,0.989859741064356,negative
88.04012,25.899,0.62,0.98987700870746,negative
193.05047,23.506,-0.6,0.989985273283075,negative
118.03953,11.423,-0.99,0.991834729931922,negative
179.03492,19.09,0.26,0.991852285857694,negative
164.98391,11.9,-1.4,0.992272839295482,negative
222.03357,14.828,0.46,0.992929738785321,negative
113.02402,15.056,0.42,0.99332011258608,negative
181.01419,22.597,1.01,0.993420138777669,negative
101.0241,11.339,0.37,0.993551906743267,negative
309.27984,1.29,-0.84,0.993866292269049,negative
196.0251,26.015,1.09,0.994124634045529,negative
189.02112,14.789,0.32,0.994201056725141,negative
157.05056,13.146,0.74,0.994320773539129,negative
116.98267,15.377,-0.35,0.994525748025361,negative
194.01728,11.785,-0.88,0.994614070829679,negative
229.0505,1.405,-0.91,0.994664533223751,negative
91.04099,23.643,1.27,0.994785229143177,negative
173.43442,19.567,1.14,0.994924656834548,negative
168.98932,24.19,0.58,0.995010808776412,negative
218.94427,14.628,-1.85,0.995202709085386,negative
195.01364,11.972,-0.79,0.99521390714832,negative
75.00845,9.133,1.06,0.995253053906267,negative
221.11823,18.901,-1.03,0.99535616039031,negative
116.92841,1.204,-0.75,0.995917648403064,negative
118.9983,14.535,0.29,0.996109183827821,negative
194.98901,10.3,-2.08,0.996157996753901,negative
214.0023,3.088,-0.94,0.996164266805996,negative
182.00943,1.236,-1.88,0.996207458523008,negative
220.06484,12.647,-0.31,0.99632559822265,negative
295.22772,1.205,-0.59,0.996990570580752,negative
104.99977,11.861,-1.51,0.997024887305893,negative
118.9983,14.249,0.33,0.997183576863223,negative
128.03503,8.63,0.53,0.997237076206567,negative
281.05999,15.469,1.81,0.99732484765828,negative
75.00844,9.748,0.35,0.99764189110759,negative
197.12956,14.007,0.29,0.99771237836722,negative
129.05549,1.435,0.25,0.997849990743051,negative
91.04095,1.414,0.51,0.997875591252544,negative
61.99608,1.213,-0.7,0.99793134288069,negative
132.03005,13.048,0.28,0.99825685517742,negative
187.00141,3.448,-0.57,0.998275000881982,negative
162.89938,16.375,-1.9,0.998313870341495,negative
208.99084,11.94,-2.59,0.998391346704199,negative
218.89469,16.327,-1.97,0.998461850938207,negative
72.9928,13.525,0.39,0.998617537240685,negative
195.90579,18.05,-0.92,0.998704257240256,negative
179.03493,16.689,-0.19,0.998827939443614,negative
195.01369,11.589,-0.63,0.999011460256557,negative
180.03017,1.247,-0.6,0.999037341488214,negative
73.02918,13.58,0.29,0.999047000351601,negative
108.02138,1.227,0.43,0.999056142254002,negative
83.0248,1.234,-0.47,0.999143275250274,negative
151.00673,28.587,2.39,0.999178328062196,negative
122.9755,1.125,-0.51,0.999258598844745,negative
298.98745,12.202,-1.12,0.999289102104647,negative
223.06108,16.573,-0.25,0.999351214284452,negative
171.10269,28.612,2.47,0.999359919841455,negative
205.03523,16.468,0.41,0.999380522647485,negative
173.04546,11.547,0.25,0.999409978568278,negative
239.02064,12.028,-1.11,0.999428180004656,negative
177.09204,1.252,0.74,0.999430495091082,negative
103.00337,16.506,-0.37,0.999441622956109,negative
202.00153,3.545,1.39,0.999453282434324,negative
175.02464,16.634,0.29,0.999498438619042,negative
185.02769,16.28,1.85,0.999505034879091,negative
227.12881,18.906,-0.17,0.999521742713687,negative
175.09755,11.544,0.24,0.999532933568913,negative
163.99982,9.5,-0.28,0.999539120076804,negative
227.09242,14.469,0.29,0.999539852286625,negative
179.05606,4.601,0.24,0.999569446939064,negative
280.02027,12.623,0.6,0.999606809548821,negative
177.04036,13.178,0.16,0.999610261499578,negative
205.03526,13.671,0.39,0.99969338764699,negative
160.89268,1.188,0.65,0.999696899016834,negative
195.99204,1.145,-0.3,0.999716884086553,negative
165.01914,18.305,-0.8,0.999718959620218,negative
161.04549,1.184,2.41,0.99972431118566,negative
155.98857,1.162,-0.88,0.999725163057378,negative
239.20166,1.267,-0.8,0.999762945087136,negative
203.99419,23.117,-0.51,0.999776877839726,negative
135.01195,1.23,-0.6,0.999778309966917,negative
221.03019,14.678,0.32,0.999804038532153,negative
225.18605,1.268,-0.73,0.999805218398372,negative
196.0251,23.296,-1.33,0.999829784274606,negative
236.50153,5.968,0.25,0.999832134078421,negative
210.9892,23.88,-0.99,0.999837839633869,negative
219.08729,13.315,-0.44,0.999841492028516,negative
124.00712,15.323,0.99,0.999850083149873,negative
272.08879,15.205,0.24,0.99985125661735,negative
195.49551,17.867,0.81,0.999862209147567,negative
160.02514,13.275,-0.34,0.999867595572852,negative
172.83194,12.545,0.4,0.9998775353665,negative
339.19992,6.211,0.76,0.999880802790997,negative
165.01928,13.399,0.5,0.9998837755385,negative
115.03979,13.526,0.29,0.999886130172449,negative
297.24353,28.612,1.17,0.99988688155078,negative
165.01929,18.35,-0.78,0.999888030884817,negative
239.05931,1.28,-1.72,0.999888032429827,negative
146.926,1.293,0.65,0.999900098825036,negative
97.02919,1.274,-0.37,0.99990893671251,negative
173.43762,6.727,-1.79,0.999915000889216,negative
129.0555,15.575,0.36,0.99991536539715,negative
78.95876,12.919,0.28,0.999916740957873,negative
120.00162,14.531,0.31,0.999917301693427,negative
